Date,URL,Hit Sentence,Source,Influencer,Country,Language,Reach,Sentiment,State,label,day,hour
2023-09-27 08:59:00,https://twitter.com/gowthamsarand/statuses/1706873778305667225,@Tataev It can comfortably hold two in the rear and don’t feel airy as like Tata Altroz. Don’t know whether it will rust like my tigor and other Tata cars https://t.co/yiriW2POMJ,Twitter,@gowthamsarand,India,English,160.0,Neutral,Tamil Nadu,tata,27,8
2023-09-26 21:57:00,http://twitter.com/mukeshtiwarik/statuses/1706707036573139133,RT @MayurRam21: @Supriyamunees95 @Akshara79485251 @ted1702 @rajatrai371 @RNTata2000 @TataMotors @TataMotors_Cars @NCHANDRASEKARAN @DerikMotors Buying Tata cars are like “chale to chand tak varna sham tak”. If you got damaged car then no body is there to help and even listen/acknowledge your problems. They are trained how to avoid actual problems and mislead customers. @TataMotors_Cars @Tataev,Twitter,@mukeshtiwarik,India,English,426.0,Negative,Delhi,tata,26,21
2023-09-26 21:38:00,http://twitter.com/shubharora63/statuses/1706702328311816688,"@TataMotors_Cars @TataMotors They have asked me to pay approx 80% of the expenses which is more then 1 lac, I asked what caused this rusting they said environmental conditions, so does this mean Tata cars are not made for the Indian Environment?",Twitter,@shubharora63,India,English,15.0,Negative,Uttar Pradesh,tata,26,21
2023-09-26 21:30:00,http://twitter.com/JAGDISHJOSHIN/statuses/1706700279671132651,@HyundaiIndia @vijaymahar Why most Hyundai cars do not stop while emergency braking?,Twitter,@JAGDISHJOSHIN,India,English,59.0,Neutral,Karnataka,hyundai,26,21
2023-09-26 20:40:00,http://twitter.com/unfeignedindian/statuses/1706687595672117470,"@zoo_bear Hundreds of Maruti car meet accident, they have been selling with airbags, still many died, Atleast Mahindra and tata are making 5 star safely cars, remember syrus mistry died in Mercedes. LKFC",Twitter,@unfeignedindian,India,English,97.0,Negative,Haryana,tata,26,20
2023-09-26 16:48:00,http://twitter.com/mohit_mib/statuses/1706629426132496504,"@TataMotors It is unfortunate that the majority of these Tata cars are new and will be delivered to Tata customers. Obs. the state of these vehicles, I am struggling to comprehend why these @TataZedex dealerships cannot install even the most basic shelters. Loc:Jail rd, GGN https://t.co/0FzZCTuS3Z",Twitter,@mohit_mib,India,English,3.0,Negative,Delhi,tata,26,16
2023-09-26 16:36:00,http://twitter.com/VeerSinghBallia/statuses/1706626222766387367,"QT @VeerSinghBallia: Hi @TataMotors_Cars , Do you feel to reply or if Tata motors is little bit bothered also about customers to whom you sold cars.. ; @TataMotors_Cars when you sell car , i believe you should also take responsibility of service, accessories, warranty etc.. pls correct me if i m wrong.. i have told that i need additional 2 accessories here tata is not able to help me with already purchased one even.",Twitter,@VeerSinghBallia,India,English,88.0,Negative,Karnataka,tata,26,16
2023-09-26 15:49:00,http://twitter.com/Supriyamunees95/statuses/1706614416396231061,RT @Supriyamunees95: @ted1702 @rajatrai371 @Akshara79485251 @RNTata2000 @TataMotors @TataMotors_Cars @NCHANDRASEKARAN @DerikMotors All the victims that cheated by TATA SCAMMERS are need to unite..and we need to form a group and conduct protest against them…. MADE IN INDIA MAKE IN INDIA 🇮🇳they doesn’t deserve this word TATA SCAMMERS.. please don’t compare your CARTS(cars) with RANGE ROVERS…,Twitter,@Supriyamunees95,India,English,2.0,Negative,Tamil Nadu,tata,26,15
2023-09-26 15:32:00,http://twitter.com/Supriyamunees95/statuses/1706610287397499100,@ted1702 @rajatrai371 @Akshara79485251 @RNTata2000 @TataMotors @TataMotors_Cars @NCHANDRASEKARAN @DerikMotors All the victims that cheated by TATA SCAMMERS are need to unite..and we need to form a group and conduct protest against them…. MADE IN INDIA MAKE IN INDIA 🇮🇳they doesn’t deserve this word TATA SCAMMERS.. please don’t compare your CARTS(cars) with RANGE ROVERS…,Twitter,@Supriyamunees95,India,English,2.0,Negative,Tamil Nadu,tata,26,15
2023-09-26 14:41:00,http://twitter.com/onnonya_tweets/statuses/1706597352503640283,RT @BloombergAsia: Hyundai and Kia plan to slash the prices of some electric vehicles in a bid to boost flagging demand for clean cars https://t.co/qAm0S92pG1,Twitter,@onnonya_tweets,India,English,1213.0,Neutral,Karnataka,hyundai,26,14
2023-09-26 13:58:00,http://twitter.com/newspaper63652/statuses/1706586465034281363,"""Hyundai Exter: नया एसयूवी आईएसयूवी मॉडल को लेकर भारतीय बाजार में हाई बुकिंग्स के साथ उतरा"" https://t.co/7ms3tly1BC हमारे whatsapp ग्रुप से जुड़ने के लिए निचे दिए लिंक को टच करें https://t.co/OkFv3lB6d2 #hyundaiindia #hyundai #i #hyundaii #hyundaicreta #cars #creta https://t.co/WhBt9goPVG",Twitter,@newspaper63652,India,Hindi,2.0,Neutral,Chhattisgarh,hyundai,26,13
2023-09-26 13:05:00,http://twitter.com/Vipin_rider/statuses/1706573079353417880,@TataMotors_Cars @TataMotors @TataCompanies Please tell me if puncture repair kit is offered with New Tata Cars..i.e Tata Altroz..?? Dealer saying it is no more offered with tata altroz.,Twitter,@Vipin_rider,India,English,8.0,Neutral,Tamil Nadu,tata,26,13
2023-09-26 12:13:00,http://twitter.com/Pragsz28/statuses/1706560079133372730,Hyundai and Kia plan to slash the prices of some electric vehicles in a bid to boost flagging demand for clean cars,Twitter,@Pragsz28,India,English,124.0,Neutral,Maharashtra,hyundai,26,12
2023-09-26 11:31:00,http://twitter.com/AmarVidit/statuses/1706549634485858549,@ACTBrigitte I think u know nothing. Just compare Tata EV vs Petrol or diesel Tata cars they weigh nearly same. Tweet anything without any scientific data.,Twitter,@AmarVidit,India,English,81.0,Neutral,Tamil Nadu,tata,26,11
2023-09-26 07:56:00,http://twitter.com/GatorUltimatum/statuses/1706495327967085004,"QT @EnglishElective: These are the garbage humans whose voting habits ruin the state they live in, they then leave and bring their shitty voting habits with them, thus ruining their new state. ; I am currently in a red southern state visiting family. As we drove by the strip malls I noticed several shops with plywood over windows. Hurricane? No, smash & grabs with cars. Do you have Kia/Hyundai issues? Oh, yes. It's NOT just NY.",Twitter,@GatorUltimatum,India,English,299.0,Negative,Jammu and Kashmir,hyundai,26,7
2023-09-26 05:54:00,http://twitter.com/advaitaX/statuses/1706464751423721538,@Politics_2022_ @zoo_bear @jdk51335 Mahindra and Tata cars are safer than Korean cars like Kia and Hyundai . Ask any car purchaser on which brand will he bet his life on . Also it's a fact that front airbags only get deployed in straight collisions only.,Twitter,@advaitaX,India,English,42.0,Positive,Madhya Pradesh,tata_hyundai,26,5
2023-09-26 00:00:00,http://twitter.com/DeepakLevaousa/statuses/1706375628382146930,"@volklub People should think wisely choosing cars rather than features Should go for tank like build quality And govt should make mandatory 6 airbags and all safety features Volkswagen,Ford,Skoda, Mahindra and Tata are the cars to go for",Twitter,@DeepakLevaousa,India,English,155.0,Neutral,Karnataka,tata,26,0
2023-09-25 23:44:00,http://twitter.com/jayeshkhunt20/statuses/1706371562985652430,RT @krishnagoyal472: I am attaching every detailed photos I have below from work order in workshop to cars condition till today. Even after seeing this if tata doesn’t gives a solution than @TataMotors is not what TATA stands for. @Tataev @jagograhakjago @TataCompanies #harassed https://t.co/tqv7gn2rVI,Twitter,@jayeshkhunt20,India,English,291.0,Neutral,Gujarat,tata,25,23
2023-09-25 23:37:00,http://twitter.com/jayeshkhunt20/statuses/1706369889206735312,"RT @DAdavaram: @RNTata2000 RESPECT SIR..I BROUGHT A BRAND NEW CAR..WHICH HAS WATER LEAKAGE ISSUE..JUST 1 WEEK LATER..I HAVE FACED IT..AFTER BUYING..HAS GIVEN IN SERVICE STATION STILL NOT RECTIFIED..BEING A FAN OF INDIAN BRAND..I AM USING TATA CARS FROM INDICA,MANZA,LATEST SAFARI NOW NEXON https://t.co/qlZ1h6dYFh",Twitter,@jayeshkhunt20,India,English,291.0,Neutral,Gujarat,tata,25,23
2023-09-25 22:55:00,http://twitter.com/Supriyamunees95/statuses/1706359291991691399,@RNTata2000 @TataMotors @TataMotors_Cars @NCHANDRASEKARAN @DerikMotors BOYCOTT TATA CARS.. they cheat all the customers..,Twitter,@Supriyamunees95,India,English,2.0,Negative,Tamil Nadu,tata,25,22
2023-09-25 18:23:00,http://twitter.com/CarWale/statuses/1706290747299742001,Here are some cool-looking spoilers that help make even budget cars look stylish! Which one of these do you like? #Renault #RenaultKiger #Hyundai #HyundaiVenueNLine #MarutiSuzuki #MarutiSuzukiFronx #Volkswagen #VolkswagenTaigun #CWActivity #CWWhichonewillyouchoose https://t.co/zlHkFikdbV,Twitter,@CarWale,India,English,67965.0,Neutral,Maharashtra,hyundai,25,18
2023-09-25 17:31:00,http://twitter.com/abhijeet1301/statuses/1706277795465416818,"@Benarasiyaa Sorry for the loss but I have two cars from Mahindra and Tata XUV300 and Altroz Both met horrible accidents. Here’s a pic of Altroz, pictures don’t justify the speed but I’ll tell you it was 80+, this may’ve been a QC issue where there was no airbags but not a product issue. https://t.co/rgCuze068z",Twitter,@abhijeet1301,India,English,39.0,Negative,Madhya Pradesh,tata,25,17
2023-09-25 17:12:00,http://twitter.com/iharrshal/statuses/1706272932362928315,"QT @Benarasiyaa: Have always believed people shouldn’t buy cars from #tata and #mahindra just because of some patriotism. Always check what you get for the price you pay. Tata or mahindra should be a persons last preference. ; FIR registered against Mahindra chairman in Kanpur, UP. Rajesh Mishra, a UP's Kanpur resident, gifted Mahindra Scorpio to his son Apoorv Mishra. On 14 January 2022, Apoorv returning to Kanpur from Lucknow in Scorpio met with an accident and died. He was wearing the seat belt… https://t.co/7Pk3q9Mbgr",Twitter,@iharrshal,India,English,121.0,Negative,Tamil Nadu,tata,25,17
2023-09-25 15:47:00,https://twitter.com/Ni3iN_D28/statuses/1706251507849654628,RT @gaadiwaadi: 4 Soon-Launching New Tata Cars You Should Wait For In India https://t.co/C6H0HevluC,Twitter,@ni3in_d28,India,English,276.0,Neutral,Maharashtra,tata,25,15
2023-09-25 14:41:00,http://twitter.com/Litu_ck/statuses/1706234848984306163,RT @gaadiwaadi: 4 Soon-Launching New Tata Cars You Should Wait For In India https://t.co/C6H0HevluC,Twitter,@Litu_ck,India,English,311.0,Neutral,Odisha,tata,25,14
2023-09-25 14:40:00,http://twitter.com/autoworldmag/statuses/1706234791178403950,RT @gaadiwaadi: 4 Soon-Launching New Tata Cars You Should Wait For In India https://t.co/C6H0HevluC,Twitter,@autoworldmag,India,English,891.0,Neutral,Karnataka,tata,25,14
2023-09-25 14:38:00,http://twitter.com/TimesNow/statuses/1706234211374702984,RT @TNTimesDrive: 7 most powerful budget cars to buy in India #Hyundai #Nexon #TataNexon #C3 #Citroen #I20 #XUV300 #Altroz #C3Aircross https://t.co/ci3yPlM8It,Twitter,@TimesNow,India,English,10296019.0,Positive,Kerala,hyundai,25,14
2023-09-25 14:25:00,http://twitter.com/frozenfirm/statuses/1706231010214752698,"First stranded experience with @Tataev Tata Power EZ charge app which showed the Chima cars, Sivaganga, TN to be live and active Trusted them and found out they usually switch ON the DCFC all time and it's placed inside the shutter 🤦‍♂️ @TiagoEVClub @Xroaders_001 @ExpWithEVs https://t.co/4gJMdD6lEc",Twitter,@frozenfirm,India,English,9.0,Positive,Tamil Nadu,tata,25,14
2023-09-25 13:11:00,http://twitter.com/gaadiwaadi/statuses/1706212356530020759,4 Soon-Launching New Tata Cars You Should Wait For In India https://t.co/C6H0HevluC,Twitter,@gaadiwaadi,India,English,7850.0,Neutral,Tamil Nadu,tata,25,13
2023-09-25 12:27:00,http://twitter.com/TNTimesDrive/statuses/1706201177308942810,7 most powerful budget cars to buy in India #Hyundai #Nexon #TataNexon #C3 #Citroen #I20 #XUV300 #Altroz #C3Aircross https://t.co/ci3yPlM8It,Twitter,@TNTimesDrive,India,English,6195.0,Positive,Andhra Pradesh,hyundai,25,12
2023-09-25 10:52:00,http://twitter.com/SirfEkMusaafir/statuses/1706177320052990453,RT @neeraj_rajput: Right from Daewoo’s Matiz in mid-90’s to present day Hyundai’s Creta and Kia #Korean cars have been part of Indians for past three decades. Congrats Excellency 🚘 ; We are delighted to have a new Hyundai Genesis GV80 as the Ambassador's official vehicle and held a Pooja ceremony wishing for good luck! Join our embassy's new journey! https://t.co/MV4htMjk1H,Twitter,@SirfEkMusaafir,India,English,863.0,Positive,Tamil Nadu,hyundai,25,10
2023-09-25 10:50:00,http://twitter.com/jayeshkhunt20/statuses/1706176907526504755,@volklub @TataMotors_Cars @Schandr80504296 The employee of Tata Motors Dealership show the #gundagardi like this if you complain against them for the repair work. This is why we have paid our Hard-earned money for TATA Motors cars. Abhi tak to sirf services se pareshan the ab ye bhi..,Twitter,@jayeshkhunt20,India,English,291.0,Neutral,Gujarat,tata,25,10
2023-09-25 10:48:00,http://twitter.com/Neutral__News/statuses/1706176394261360981,RT @neeraj_rajput: Right from Daewoo’s Matiz in mid-90’s to present day Hyundai’s Creta and Kia #Korean cars have been part of Indians for past three decades. Congrats Excellency 🚘 ; We are delighted to have a new Hyundai Genesis GV80 as the Ambassador's official vehicle and held a Pooja ceremony wishing for good luck! Join our embassy's new journey! https://t.co/MV4htMjk1H,Twitter,@Neutral__News,India,English,596.0,Positive,Tamil Nadu,hyundai,25,10
2023-09-25 10:48:00,http://twitter.com/jayeshkhunt20/statuses/1706176238006735128,RT @Idontkn87221860: @TataMotors_Cars What a shame!! The whole social media is flooded with the tortures & harassment both by the tata cars as well as dealers & @TataMotors_Cars is incapable of resolving.Why are the people buying then if service is deemed to be ruptured? @consumr_rights @jaagograhakjago @JaagoGrahak,Twitter,@jayeshkhunt20,India,English,291.0,Negative,Gujarat,tata,25,10
2023-09-25 10:48:00,http://twitter.com/jayeshkhunt20/statuses/1706176228858978453,RT @RajeshK_Chaubey: Still @TataMotors and @TataMotors_Cars are unaware and feel nothing to do. ; @TataMotors_Cars What a shame!! The whole social media is flooded with the tortures & harassment both by the tata cars as well as dealers & @TataMotors_Cars is incapable of resolving.Why are the people buying then if service is deemed to be ruptured? @consumr_rights @jaagograhakjago @JaagoGrahak,Twitter,@jayeshkhunt20,India,English,291.0,Negative,Gujarat,tata,25,10
2023-09-25 10:47:00,http://twitter.com/neeraj_rajput/statuses/1706175966190735539,QT @RokEmbIndia: Right from Daewoo’s Matiz in mid-90’s to present day Hyundai’s Creta and Kia #Korean cars have been part of Indians for past three decades. Congrats Excellency 🚘 ; We are delighted to have a new Hyundai Genesis GV80 as the Ambassador's official vehicle and held a Pooja ceremony wishing for good luck! Join our embassy's new journey! https://t.co/MV4htMjk1H,Twitter,@neeraj_rajput,India,English,30036.0,Positive,Delhi,hyundai,25,10
2023-09-25 10:30:00,http://twitter.com/jayeshkhunt20/statuses/1706171671114285301,@StudioViral_ @MotorOctane @TataMotors_Cars @Schandr80504296 The employee of Tata Motors Dealership show the #gundagardi like this if you complain against them for the repair work. This is why we have paid our Hard-earned money for TATA Motors cars. Abhi tak to sirf services se pareshan the ab ye bhi..,Twitter,@jayeshkhunt20,India,English,291.0,Neutral,Gujarat,tata,25,10
2023-09-25 10:27:00,http://twitter.com/jayeshkhunt20/statuses/1706171099653063021,@SohamNatu @MotorOctane @TataMotors_Cars @Schandr80504296 The employee of Tata Motors Dealership show the #gundagardi like this if you complain against them for the repair work. This is why we have paid our Hard-earned money for TATA Motors cars. Abhi tak to sirf services se pareshan the ab ye bhi..,Twitter,@jayeshkhunt20,India,English,291.0,Neutral,Gujarat,tata,25,10
2023-09-25 10:27:00,http://twitter.com/jayeshkhunt20/statuses/1706171075619684581,@Furtive_Glances @MotorOctane @TataMotors_Cars @Schandr80504296 The employee of Tata Motors Dealership show the #gundagardi like this if you complain against them for the repair work. This is why we have paid our Hard-earned money for TATA Motors cars. Abhi tak to sirf services se pareshan the ab ye bhi..,Twitter,@jayeshkhunt20,India,English,291.0,Neutral,Gujarat,tata,25,10
2023-09-25 10:26:00,http://twitter.com/jayeshkhunt20/statuses/1706170809960878367,@autocarindiamag @TataMotors_Cars @TataMotors_Cars @Schandr80504296 The employee of Tata Motors Dealership show the #gundagardi like this if you complain against them for the repair work. This is why we have paid our Hard-earned money for TATA Motors cars. Abhi tak to sirf services se pareshan the ab ye bhi..,Twitter,@jayeshkhunt20,India,English,291.0,Neutral,Gujarat,tata,25,10
2023-09-25 10:26:00,http://twitter.com/jayeshkhunt20/statuses/1706170756651168069,@beingUtsav @autocarindiamag @TataMotors_Cars @TataMotors_Cars @Schandr80504296 The employee of Tata Motors Dealership show the #gundagardi like this if you complain against them for the repair work. This is why we have paid our Hard-earned money for TATA Motors cars. Abhi tak to sirf services se pareshan the ab ye bhi..,Twitter,@jayeshkhunt20,India,English,291.0,Neutral,Gujarat,tata,25,10
2023-09-25 10:25:00,http://twitter.com/jayeshkhunt20/statuses/1706170643954495896,@ravipandey009 @autocarindiamag @TataMotors_Cars @TataMotors_Cars @Schandr80504296 The employee of Tata Motors Dealership show the #gundagardi like this if you complain against them for the repair work. This is why we have paid our Hard-earned money for TATA Motors cars. Abhi tak to sirf services se pareshan the ab ye bhi..,Twitter,@jayeshkhunt20,India,English,291.0,Neutral,Gujarat,tata,25,10
2023-09-25 10:16:00,http://twitter.com/Hanumanbhakt000/statuses/1706168356577873940,Tata Motors - worst cars ever TCS - some govt companies are better Tata Coffee - nearly poisonous Tata Steel - can't/won't scale up Tata Cliq - worst e-commerce company ever Voltas - second-worst a/c in the market Titan - an also-ran Tatas should just stick to selling salt.,Twitter,@Hanumanbhakt000,India,English,87.0,Negative,Punjab,tata,25,10
2023-09-25 10:10:00,http://twitter.com/faizan6ix/statuses/1706166740068254041,RT @gaadiwaadi: 10+ Highly Anticipated Cars Coming Next Year – Tata To Mahindra https://t.co/fPDVubqie4,Twitter,@faizan6ix,India,English,170.0,Positive,Bihar,tata,25,10
2023-09-25 08:24:00,http://twitter.com/Litu_ck/statuses/1706140190694412348,RT @gaadiwaadi: 10+ Highly Anticipated Cars Coming Next Year – Tata To Mahindra https://t.co/fPDVubqie4,Twitter,@Litu_ck,India,English,311.0,Positive,Odisha,tata,25,8
2023-09-25 08:21:00,http://twitter.com/Ni3iN_D28/statuses/1706139285701931172,RT @gaadiwaadi: 10+ Highly Anticipated Cars Coming Next Year – Tata To Mahindra https://t.co/fPDVubqie4,Twitter,@Ni3iN_D28,India,English,276.0,Positive,Maharashtra,tata,25,8
2023-09-25 08:20:00,http://twitter.com/gaadiwaadi/statuses/1706139171319160908,10+ Highly Anticipated Cars Coming Next Year – Tata To Mahindra https://t.co/fPDVubqie4,Twitter,@gaadiwaadi,India,English,7852.0,Positive,Karnataka,tata,25,8
2023-09-24 19:11:00,http://twitter.com/jayeshkhunt20/statuses/1705940580985881013,RT @Abhinov_dubey: @TataMotors_Cars @Schandr80504296 The employee of Tata Motors Dealership show the #gundagardi like this if you complain against them for the repair work. This is why we have paid our Hard-earned money for TATA Motors cars. Abhi tak to sirf services se pareshan the ab ye bhi.. https://t.co/05GJkq6QQX,Twitter,@jayeshkhunt20,India,English,291.0,Neutral,Gujarat,tata,24,19
2023-09-24 19:00:00,http://twitter.com/DonAravind13/statuses/1705937750162358623,"QT @91wheels: Upcoming #cars | ; With the ongoing launches in the electric vehicle industry in India, it is clear that Tata Motors has the highest market share (68.7%) in the electric vehicles segment as of August 2023. With the recent launch of the Nexon EV facelift, there's a whole fleet of electric cars… https://t.co/Ac9fNt7jwB",Twitter,@DonAravind13,India,English,64.0,Positive,Tamil Nadu,tata,24,19
